"joinID","nature","access","riskPerc","budget","knowledge","OPMpresence","OPMinv"
248,2,1,0.8,43820,0,0,1
249,2,1,0.8,43820,0,0,1
250,2,1,0.8,43820,0,0,1
251,2,1,0.8,43820,1,1,0
252,2,0,0,43820,1,1,0
253,2,0,0,43820,1,1,0
254,2,0,0,43820,0,0,1
255,1,0,0,43820,0,0,1
256,1,0,0,43820,0,0,1
257,1,0,0,43820,0,0,1
258,1,0,0,43820,0,0,1
259,1,0,0,43820,0,0,1
260,1,0,0,43820,0,0,1
261,1,0,0,43820,0,0,1
262,1,0,0.5,43820,0,0,1
263,1,0,0,43820,0,0,1
264,1,0,0,43820,0,0,1
265,2,0,0,43820,0,0,1
266,2,0,0,43820,0,0,1
267,2,0,0,43820,0,0,1
268,2,0,0,43820,0,0,1
269,2,0,0,43820,0,0,1
270,3,0,0,43820,0,0,1
271,3,0,0,43820,0,0,1
272,3,0,0,43820,0,0,1
273,3,0,0,43820,0,0,1
274,3,0,0,43820,0,0,1
275,3,0,0,43820,0,0,1
276,3,0,0,43820,0,0,1
277,3,0,0,43820,0,0,1
278,3,0,0,43820,0,0,1
279,2,0,0,43820,0,0,1
280,3,0,0,43820,0,0,1
281,2,0,0,43820,0,0,1
282,3,0,0.5,43820,0,0,1
283,3,0,0.5,43820,0,0,1
284,2,0,0,43820,0,0,1
285,2,0,0,43820,0,0,1
286,1,0,0,43820,0,0,1
287,3,0,0,43820,0,0,1
288,3,0,0,43820,1,1,0
289,3,1,0.8,43820,1,1,0
290,2,1,0.8,43820,1,1,0
291,3,1,0.8,43820,1,1,0
292,2,1,0.8,43820,1,1,0
293,2,1,0.8,43820,0,0,1
294,2,1,0.8,43820,0,0,1
295,2,1,0,43820,0,0,1
296,2,1,0.8,43820,0,0,1
297,2,1,0.8,43820,0,0,1
298,2,1,0.8,43820,0,0,1
299,2,1,0.8,43820,0,0,1
300,2,1,0.8,43820,0,0,1
301,2,1,0,43820,0,0,1
302,2,1,0.5,43820,0,0,1
303,2,0,0,43820,0,0,1
304,1,0,0,43820,0,0,1
305,1,0,0,43820,0,0,1
306,2,0,0,43820,0,0,1
307,1,0,0,43820,0,0,1
308,1,0,0,43820,0,0,1
309,2,0,0,43820,0,0,1
310,1,0,0,43820,0,0,1
311,1,0,0.8,43820,0,0,1
312,1,0,1,43820,0,0,1
313,1,0,0.8,43820,0,0,1
314,1,0,0,43820,0,0,1
315,2,0,0,43820,0,0,1
316,1,0,0,43820,0,0,1
317,2,0,0,43820,0,0,1
318,2,0,0,43820,0,0,1
319,2,0,0,43820,0,0,1
320,3,0,0,43820,0,0,1
321,2,0,0,43820,0,0,1
322,3,0,0,43820,0,0,1
323,3,0,0,43820,0,0,1
324,3,0,0,43820,0,0,1
325,3,0,0,43820,0,0,1
326,3,0,0,43820,0,0,1
327,3,0,0,43820,0,0,1
328,3,0,0,43820,0,0,1
329,3,0,0,43820,0,0,1
330,2,0,0,43820,0,0,1
331,2,0,0.5,43820,0,0,1
332,2,0,0.5,43820,0,0,1
333,2,0,0,43820,0,0,1
334,2,0,0,43820,0,0,1
335,2,0,0,43820,0,0,1
336,2,0,0,43820,0,0,1
337,1,0,0,43820,0,0,1
338,1,0,0,43820,0,0,1
339,1,0,0,43820,0,0,1
340,3,1,0.8,43820,1,1,0
341,3,1,0.8,43820,1,1,0
342,3,1,0.8,43820,1,1,0
343,3,1,0.8,43820,1,1,0
344,3,1,0.8,43820,1,1,0
345,2,1,0.8,43820,0,0,1
346,2,1,0.8,43820,0,0,1
347,2,1,0.8,43820,0,0,1
348,2,1,0.8,43820,0,0,1
349,2,1,0.8,43820,0,0,1
350,2,1,0.8,43820,0,0,1
351,2,1,0.8,43820,0,0,1
352,2,0,0,43820,0,0,1
353,2,1,0.5,43820,0,0,1
354,2,1,0.5,43820,0,0,1
