"id","joinID","X","Y","Agent","OPMpresence","riskPerc","budget","knowledge","nature","access"
141,270,4.76,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
142,271,4.8,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
143,272,4.84,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
144,278,3.1,0.28,"no_mgmt_NOPM",0,0,0.43,0,3,0
145,279,3.14,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,0
146,280,3.18,0.28,"no_mgmt_NOPM",0,0,0.43,0,3,0
147,281,3.22,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,0
148,282,3.26,0.28,"no_mgmt_NOPM",0,0.5,0.43,0,3,0
149,283,3.3,0.28,"no_mgmt_NOPM",0,0.5,0.43,0,3,0
150,288,3.5,0.28,"no_mgmt_NOPM",0,0,0.43,0,3,0
151,289,3.54,0.28,"no_mgmt_NOPM",0,0,0.43,0,3,1
152,290,3.58,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
153,291,3.62,0.28,"no_mgmt_NOPM",0,0,0.43,0,3,1
154,292,3.66,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
155,293,3.7,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
156,294,3.74,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
157,296,3.82,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
158,297,3.86,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
159,298,3.9,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
160,299,3.94,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
161,300,3.98,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,1
162,302,4.06,0.28,"no_mgmt_NOPM",0,0.5,0.43,0,2,1
163,311,4.42,0.28,"no_mgmt_NOPM",0,0,0.43,0,1,0
164,312,4.46,0.28,"no_mgmt_NOPM",0,1,0.43,0,1,0
165,313,4.5,0.28,"no_mgmt_NOPM",0,1,0.43,0,1,0
166,320,4.78,0.28,"no_mgmt_NOPM",0,0,0.43,0,3,0
167,321,4.82,0.28,"no_mgmt_NOPM",0,0,0.43,0,2,0
168,322,4.86,0.28,"no_mgmt_NOPM",0,0,0.43,0,3,0
169,328,3.04,0.31,"no_mgmt_NOPM",0,0,0.43,0,3,0
170,329,3.08,0.31,"no_mgmt_NOPM",0,0,0.43,0,3,0
171,330,3.12,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,0
172,331,3.16,0.31,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
173,332,3.2,0.31,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
174,340,3.52,0.31,"no_mgmt_NOPM",0,0,0.43,0,3,1
175,341,3.56,0.31,"no_mgmt_NOPM",0,0,0.43,0,3,1
176,342,3.6,0.31,"no_mgmt_NOPM",0,0,0.43,0,3,1
177,343,3.64,0.31,"no_mgmt_NOPM",0,0,0.43,0,3,1
178,344,3.68,0.31,"no_mgmt_NOPM",0,0,0.43,0,3,1
179,345,3.72,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,1
180,346,3.76,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,1
181,347,3.8,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,1
182,348,3.84,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,1
183,349,3.88,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,1
184,350,3.92,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,1
185,351,3.96,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,1
186,353,4.04,0.31,"no_mgmt_NOPM",0,0.5,0.43,0,2,1
187,354,4.08,0.31,"no_mgmt_NOPM",0,0.5,0.43,0,2,1
188,355,4.12,0.31,"no_mgmt_NOPM",0,0.5,0.43,0,1,1
189,356,4.16,0.31,"no_mgmt_NOPM",0,1,0.43,0,1,0
190,361,4.36,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,0
191,362,4.4,0.31,"no_mgmt_NOPM",0,0,0.43,0,1,0
192,363,4.44,0.31,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
193,364,4.48,0.31,"no_mgmt_NOPM",0,1,0.43,0,1,0
194,373,4.84,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,0
195,374,4.88,0.31,"no_mgmt_NOPM",0,0,0.43,0,2,0
196,375,4.92,0.31,"no_mgmt_NOPM",0,0,0.43,0,3,0
197,379,2.94,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,0
198,380,2.98,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,0
199,381,3.02,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,0
200,382,3.06,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,0
201,383,3.1,0.35,"no_mgmt_NOPM",0,0,0.43,0,2,0
202,384,3.14,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
203,385,3.18,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
204,394,3.54,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,1
205,395,3.58,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,1
206,396,3.62,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,1
207,397,3.66,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,1
208,398,3.7,0.35,"no_mgmt_NOPM",0,0,0.43,0,2,1
209,399,3.74,0.35,"no_mgmt_NOPM",0,0,0.43,0,2,1
210,400,3.78,0.35,"no_mgmt_NOPM",0,0,0.43,0,2,1
211,401,3.82,0.35,"no_mgmt_NOPM",0,0,0.43,0,2,1
212,402,3.86,0.35,"no_mgmt_NOPM",0,0,0.43,0,2,1
213,406,4.02,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
214,407,4.06,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,2,1
215,408,4.1,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
216,409,4.14,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
217,410,4.18,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
218,413,4.3,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
219,414,4.34,0.35,"no_mgmt_NOPM",0,0.5,0.43,0,2,1
220,415,4.38,0.35,"no_mgmt_NOPM",0,0,0.43,0,2,0
221,417,4.46,0.35,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
222,419,4.54,0.35,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
223,428,4.9,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,0
224,429,4.94,0.35,"no_mgmt_NOPM",0,0,0.43,0,3,0
225,434,2.88,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,0
226,435,2.92,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,0
227,436,2.96,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,0
228,437,3,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,0
229,439,3.08,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,0
230,440,3.12,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,0
231,441,3.16,0.38,"no_mgmt_NOPM",0,0,0.43,0,2,0
232,446,3.36,0.38,"no_mgmt_NOPM",0,0,0.43,0,1,0
233,447,3.4,0.38,"no_mgmt_NOPM",0,0,0.43,0,1,0
234,448,3.44,0.38,"no_mgmt_NOPM",0,0,0.43,0,2,0
235,450,3.52,0.38,"no_mgmt_NOPM",0,0.8,0.43,0,2,0
236,451,3.56,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,1
237,452,3.6,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,1
238,453,3.64,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,1
239,454,3.68,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,1
240,455,3.72,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,1
241,456,3.76,0.38,"no_mgmt_NOPM",0,0,0.43,0,1,1
242,457,3.8,0.38,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
243,462,4,0.38,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
244,463,4.04,0.38,"no_mgmt_NOPM",0,0.5,0.43,0,1,1
245,465,4.12,0.38,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
246,466,4.16,0.38,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
247,467,4.2,0.38,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
248,468,4.24,0.38,"no_mgmt_NOPM",0,0,0.43,0,2,0
249,469,4.28,0.38,"no_mgmt_NOPM",0,0.2,0.43,0,2,0
250,470,4.32,0.38,"no_mgmt_NOPM",0,0.5,0.43,0,2,1
251,471,4.36,0.38,"no_mgmt_NOPM",0,0.5,0.43,0,2,1
252,475,4.52,0.38,"no_mgmt_NOPM",0,0,0.43,0,2,0
253,486,4.96,0.38,"no_mgmt_NOPM",0,0,0.43,0,3,0
254,491,2.86,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,0
255,492,2.9,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,0
256,493,2.94,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,0
257,494,2.98,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,1
258,495,3.02,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,1
259,502,3.3,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
260,503,3.34,0.42,"no_mgmt_NOPM",0,0,0.43,0,1,0
261,504,3.38,0.42,"no_mgmt_NOPM",0,0,0.43,0,1,0
262,505,3.42,0.42,"no_mgmt_NOPM",0,0,0.43,0,1,0
263,506,3.46,0.42,"no_mgmt_NOPM",0,0,0.43,0,2,0
264,507,3.5,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,2,0
265,508,3.54,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,3,0
266,509,3.58,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,1
267,510,3.62,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,1
268,511,3.66,0.42,"no_mgmt_NOPM",0,0.5,0.43,0,3,1
269,512,3.7,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,1
270,513,3.74,0.42,"no_mgmt_NOPM",0,0,0.43,0,1,1
271,514,3.78,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
272,515,3.82,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
273,516,3.86,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
274,517,3.9,0.42,"no_mgmt_NOPM",0,0.5,0.43,0,1,1
275,519,3.98,0.42,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
276,520,4.02,0.42,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
277,521,4.06,0.42,"no_mgmt_NOPM",0,0,0.43,0,1,0
278,522,4.1,0.42,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
279,523,4.14,0.42,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
280,524,4.18,0.42,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
281,526,4.26,0.42,"no_mgmt_NOPM",0,0.2,0.43,0,2,0
282,527,4.3,0.42,"no_mgmt_NOPM",0,0.2,0.43,0,2,0
283,528,4.34,0.42,"no_mgmt_NOPM",0,0.2,0.43,0,2,0
284,529,4.38,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,2,0
285,530,4.42,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,2,0
286,535,4.62,0.42,"no_mgmt_NOPM",0,0,0.43,0,1,0
287,537,4.7,0.42,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
288,544,4.98,0.42,"no_mgmt_NOPM",0,0,0.43,0,3,0
289,549,2.8,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,0
290,550,2.84,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,0
291,551,2.88,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,1
292,552,2.92,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,1
293,553,2.96,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,1
294,554,3,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,3,1
295,555,3.04,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,3,1
296,556,3.08,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,3,0
297,563,3.36,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
298,564,3.4,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
299,565,3.44,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
300,567,3.52,0.45,"no_mgmt_NOPM",0,0,0.43,0,2,0
301,568,3.56,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,1
302,569,3.6,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,1
303,570,3.64,0.45,"no_mgmt_NOPM",0,0,0.43,0,2,1
304,571,3.68,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,1
305,572,3.72,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
306,573,3.76,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
307,574,3.8,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
308,575,3.84,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
309,576,3.88,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
310,578,3.96,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
311,579,4,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
312,580,4.04,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,1,0
313,582,4.12,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
314,583,4.16,0.45,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
315,585,4.24,0.45,"no_mgmt_NOPM",0,0.2,0.43,0,2,0
316,586,4.28,0.45,"no_mgmt_NOPM",0,0.2,0.43,0,2,0
317,587,4.32,0.45,"no_mgmt_NOPM",0,0.2,0.43,0,2,0
318,588,4.36,0.45,"no_mgmt_NOPM",0,0.2,0.43,0,2,0
319,589,4.4,0.45,"no_mgmt_NOPM",0,0.2,0.43,0,2,1
320,590,4.44,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,2,0
321,592,4.52,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,2,0
322,596,4.68,0.45,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
323,603,4.96,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,0
324,604,5,0.45,"no_mgmt_NOPM",0,0,0.43,0,3,0
325,608,2.74,0.48,"no_mgmt_NOPM",0,0,0.43,0,3,0
326,609,2.78,0.48,"no_mgmt_NOPM",0,0,0.43,0,3,0
327,610,2.82,0.48,"no_mgmt_NOPM",0,0,0.43,0,3,1
328,611,2.86,0.48,"no_mgmt_NOPM",0,0,0.43,0,3,1
329,612,2.9,0.48,"no_mgmt_NOPM",0,0,0.43,0,3,1
330,613,2.94,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,3,0
331,614,2.98,0.48,"no_mgmt_NOPM",0,0.5,0.43,0,3,1
332,615,3.02,0.48,"no_mgmt_NOPM",0,0.5,0.43,0,3,1
333,616,3.06,0.48,"no_mgmt_NOPM",0,0.5,0.43,0,3,1
334,617,3.1,0.48,"no_mgmt_NOPM",0,0.5,0.43,0,3,0
335,619,3.18,0.48,"no_mgmt_NOPM",0,0,0.43,0,3,0
336,620,3.22,0.48,"no_mgmt_NOPM",0,0,0.43,0,1,0
337,622,3.3,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
338,624,3.38,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,1,0
339,626,3.46,0.48,"no_mgmt_NOPM",0,0,0.43,0,1,0
340,628,3.54,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,2,1
341,629,3.58,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,2,1
342,630,3.62,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,2,1
343,631,3.66,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,2,1
344,632,3.7,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
345,633,3.74,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
346,634,3.78,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
347,635,3.82,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
348,636,3.86,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,1,1
349,637,3.9,0.48,"no_mgmt_NOPM",0,0.8,0.43,0,0,1
350,638,3.94,0.48,"no_mgmt_NOPM",0,0.5,0.43,0,0,0
351,639,3.98,0.48,"no_mgmt_NOPM",0,0.5,0.43,0,0,0
